,language,hidden_size_bert,nlayers_bert,dropout_bert,pca_size_bert,train_loss_bert,dev_loss_bert,test_loss_bert,train_acc_bert,dev_acc_bert,test_acc_bert,representation_bert,hidden_size_fast,nlayers_fast,dropout_fast,pca_size_fast,train_loss_fast,dev_loss_fast,test_loss_fast,train_acc_fast,dev_acc_fast,test_acc_fast,representation_fast,hidden_size_onehot,nlayers_onehot,dropout_onehot,pca_size_onehot,train_loss_onehot,dev_loss_onehot,test_loss_onehot,train_acc_onehot,dev_acc_onehot,test_acc_onehot,representation_onehot,hidden_size_random,nlayers_random,dropout_random,pca_size_random,train_loss_random,dev_loss_random,test_loss_random,train_acc_random,dev_acc_random,test_acc_random,representation_random
0,english,298,2,0.29,768,0.1356,0.2234,0.2338,0.97,0.9507,0.9466,bert,298,2,0.12,300,0.3211,0.4045,0.3913,0.9141,0.8983,0.9012,fast,97,1,0.5,242,0.399,0.6357,0.6437,0.9054,0.8472,0.8482,onehot,333,2,0.11,292,0.5055,0.7103,0.7161,0.8756,0.8318,0.8293,random
0,czech,298,2,0.12,768,0.0731,0.0871,0.0989,0.9843,0.9818,0.9804,bert,298,2,0.12,300,0.0963,0.1034,0.1141,0.9797,0.9782,0.9765,fast,115,1,0.31,178,0.2112,0.3324,0.3527,0.9549,0.9167,0.9132,onehot,393,2,0.02,184,0.4765,0.552,0.566,0.8885,0.8707,0.8693,random
0,basque,184,2,0.2,768,0.1577,0.3285,0.3555,0.9645,0.9268,0.9231,bert,410,3,0.25,300,0.1868,0.2856,0.2934,0.9503,0.9334,0.9312,fast,97,1,0.5,242,0.2566,0.762,0.7993,0.9433,0.8243,0.8164,onehot,484,3,0.28,280,0.535,0.8072,0.8305,0.8743,0.8153,0.8159,random
0,finnish,410,3,0.25,768,0.1628,0.2383,0.2539,0.9635,0.9505,0.948,bert,464,2,0.41,300,0.1596,0.1824,0.1904,0.9649,0.9606,0.9587,fast,87,1,0.48,209,0.3429,0.8136,0.795,0.9341,0.8108,0.8174,onehot,333,2,0.11,292,0.6139,0.8958,0.8741,0.8617,0.8037,0.8073,random
0,turkish,464,2,0.41,768,0.1702,0.377,0.36,0.9645,0.9138,0.9204,bert,464,2,0.41,300,0.14,0.2419,0.2329,0.9652,0.9465,0.9495,fast,87,1,0.48,209,0.2694,0.8662,0.8777,0.9512,0.7906,0.7904,onehot,484,3,0.28,280,0.3798,0.8099,0.8051,0.9289,0.8015,0.7987,random
0,tamil,359,1,0.46,768,0.0676,0.5131,0.5823,0.9934,0.8733,0.8783,bert,421,2,0.5,300,0.2263,0.5192,0.4719,0.9517,0.8892,0.8924,fast,302,2,0.45,257,0.523,1.4176,1.5711,0.9131,0.6675,0.6363,onehot,302,2,0.45,257,0.3417,1.2779,1.4066,0.9621,0.707,0.6751,random
0,korean,401,3,0.05,768,0.2086,0.2885,0.3267,0.9517,0.9376,0.9245,bert,298,2,0.12,300,0.4349,0.5515,0.5956,0.8885,0.8667,0.8531,fast,97,1,0.5,242,0.6718,1.0896,1.1474,0.8541,0.7387,0.7301,onehot,333,2,0.11,292,1.0534,1.2793,1.332,0.7532,0.698,0.6951,random
0,marathi,359,1,0.46,768,0.3332,0.7584,0.7586,0.9229,0.8795,0.8301,bert,464,2,0.41,300,0.5842,0.8938,0.8987,0.8509,0.8136,0.7913,fast,255,1,0.19,268,0.8124,1.4948,1.4942,0.8262,0.6636,0.682,onehot,487,1,0.38,212,0.7528,1.4496,1.4285,0.8368,0.6886,0.6917,random
0,urdu,298,2,0.29,768,0.2344,0.2921,0.3199,0.9415,0.933,0.9247,bert,233,3,0.19,300,0.3789,0.3858,0.4107,0.9085,0.9122,0.9101,fast,97,1,0.5,242,0.4043,0.5133,0.544,0.909,0.8847,0.8766,onehot,333,2,0.11,292,0.428,0.549,0.5864,0.9004,0.8791,0.8703,random
0,telugu,144,1,0.38,768,0.1211,0.3505,0.422,0.9778,0.935,0.914,bert,421,2,0.5,300,0.1803,0.3845,0.4189,0.9665,0.9169,0.9237,fast,278,2,0.24,192,0.3594,0.8546,0.9301,0.9388,0.8202,0.7836,onehot,302,2,0.45,257,0.2021,0.8119,0.8648,0.9805,0.8248,0.8197,random
0,indonesian,298,2,0.29,768,0.2416,0.3753,0.3803,0.9447,0.9188,0.9182,bert,464,2,0.41,300,0.2755,0.3659,0.3548,0.9356,0.9201,0.9244,fast,97,1,0.5,242,0.2773,0.6476,0.6387,0.9433,0.8612,0.8606,onehot,333,2,0.11,292,0.3795,0.7047,0.6775,0.9165,0.8453,0.8449,random
